                                        Waterbody                 Watershed  avg_risk_score  percent_unsafe  severe_cases
630                                    Town Brook           Weymouth & Weir        0.800000       80.000000             0
772                                 Assabet River          Concord (SuAsCo)        0.800000       80.000000             0
689                                 Assabet River          Concord (SuAsCo)        0.800000       80.000000             0
443                                  Potash Brook                 Westfield        0.800000      100.000000             0
351                                 French Stream             South Coastal        0.800000      100.000000             0
200                               Hockomock River                   Taunton        0.800000      100.000000             1
393                                 Godfrey Brook                   Charles        0.800000       88.888889             0
472                               Old Swamp River           Weymouth & Weir        0.800000       40.000000             0
991                             Unnamed Tributary                    Mystic        0.800000      100.000000             0
527                                  Accord Brook           Weymouth & Weir        0.800000      100.000000             0
343                                    West River                Blackstone        0.796296       67.346939             3
1277                      East Branch Tully River                   Millers        0.789474      100.000000             0
1142                                  Tully River                   Millers        0.785714      100.000000             0
1078                            Unnamed Tributary             North Coastal        0.777778       71.428571             0
994                                  Saugus River             North Coastal        0.777778       87.500000             0
162                                Speedway Brook                  Ten Mile        0.777778       87.500000             0
1163                                Ipswich River                   Ipswich        0.769231       61.538462             0
510                           First Herring Brook             South Coastal        0.769231       46.153846             0
25                              Coonamessett Pond                  Cape Cod        0.757576       39.393939            11
326                                    Mine Brook                   Charles        0.750000      100.000000             0
341               Blackstone River/Rice City Pond                Blackstone        0.750000       75.000000             0
112                               Oak Swamp Brook  Narragansett Bay (Shore)        0.750000       75.000000             0
946                                   Coles Brook          Concord (SuAsCo)        0.750000      100.000000             0
1116                             North Pond Brook                   Millers        0.750000      100.000000             0
872                                  Malden River                    Mystic        0.750000       83.333333             0
1208                      West Branch Tully River                   Millers        0.750000       80.000000             0
514                              Blackstone River                Blackstone        0.750000       75.000000             0
428                                Traphole Brook                  Neponset        0.750000      100.000000             0
976                                  Bloody Brook               Connecticut        0.750000       75.000000             0
1241                            Squannacook River                    Nashua        0.750000      100.000000             0
117                               Clear Run Brook  Narragansett Bay (Shore)        0.750000       75.000000             2
867                                   North Brook          Concord (SuAsCo)        0.750000      100.000000             0
910                                   Great Brook          Concord (SuAsCo)        0.750000       50.000000             0
751                             Unnamed Tributary                Blackstone        0.750000      100.000000             0
185                                Ten Mile River                  Ten Mile        0.750000       75.000000             0
20                             Coonamessett River                  Cape Cod        0.750000      100.000000             0
539                              Blackstone River                Blackstone        0.750000       75.000000             0
132                                  Sampson Pond              Buzzards Bay        0.750000       66.666667             1
29                                  Santuit River                  Cape Cod        0.750000      100.000000             0
410                                 Lake Lorraine                  Chicopee        0.750000       50.000000             2
476             Blackstone River/Fisherville Pond                Blackstone        0.750000       75.000000             0
465            Blackstone River/Farnumsville Pond                Blackstone        0.750000       75.000000             0
481      Blackstone River/Singing Dam Impoundment                Blackstone        0.750000       75.000000             0
40                                   Lovells Pond                  Cape Cod        0.736842       61.111111             0
1223                          Fitchburg Reservoir                    Nashua        0.736842       63.157895             0
1046                              Beaverdam Brook             North Coastal        0.727273       75.000000             0
470                              Blackstone River                Blackstone        0.727273       72.727273             0
974                           Bennetts Pond Brook             North Coastal        0.727273      100.000000             0
148                                    Fresh Pond             South Coastal        0.724138       41.379310             5
1209                                Concord River          Concord (SuAsCo)        0.720000       75.000000             0
711                                 Assabet River          Concord (SuAsCo)        0.716667       70.689655             0
1113                          Mormon Hollow Brook                   Millers        0.714286       83.333333             0
532                                Plymouth River           Weymouth & Weir        0.714286      100.000000             0
118                                   Island Pond             South Coastal        0.709677       43.333333             8
57                                 Acushnet River              Buzzards Bay        0.700000       70.000000             1
126                                  Palmer River  Narragansett Bay (Shore)        0.700000       77.777778             0
129                                Bad Luck Brook  Narragansett Bay (Shore)        0.700000       77.777778             0
882                                    White Pond          Concord (SuAsCo)        0.700000       40.000000             2
131                    East Branch (Palmer River)  Narragansett Bay (Shore)        0.700000       77.777778             0
621                             Rock Meadow Brook                   Charles        0.700000       60.000000             0
16                              Paskamanset River              Buzzards Bay        0.692308       69.230769             0
